jour,temp
1,-4
2,-4.6
3,-4.4
4,-6.5
5,-11.2
6,-2.8
7,-6
8,-11.7
9,-13
10,-8.9
11,-6.2
12,-6.5
13,-10.1
14,-3
15,-5.3
16,-11.2
17,-15.8
18,-10.5
19,-14
20,-11.5
21,-13.3
22,-21
23,-22.2
24,-22.5
25,-4
26,-12.1
27,-15.7
28,-13.2
29,-8.3
30,-7.1
31,-14.3
32,-28
33,-21.4
34,-18
35,-23.3
36,-27.1
37,-21.5
38,-15.7
39,-16
40,-6.3
41,-6.2
42,-8.3
43,-12.9
44,-7.2
45,-2.5
46,-2.4
47,-4
48,-8.5
49,-13.7
50,-20.1
51,-22.1
52,-15.6
53,-16.8
54,-23.8
55,-20
56,-9.4
57,-7.7
58,-16.7
59,-16.6
60,-9.8
61,-7.8
62,-15.8
63,-17.9
64,-18.6
65,-22.6
66,-16.7
67,-14.3
68,-9.7
69,-6.5
70,-3.4
71,-7.2
72,-9
73,-9.4
74,-13.4
75,-13.2
76,-8.7
77,-4.9
78,-10.4
79,-16.6
80,-11.5
81,-8.7
82,-12.3
83,-8.8
84,-13.3
85,-11
86,-9.2
87,-6.8
88,-3.1
89,-5.4
90,-3.8
91,-5.7
92,-5.7
93,-2.6
94,-2
95,-0.5
96,0.2
97,-1.6
98,-3.8
99,-4.9
100,-2.2
101,-2.2
102,0.5
103,0.7
104,1.9
105,0.9
106,3
107,4.9
108,4
109,1.7
110,-1.5
111,-1.6
112,-0.8
113,2.1
114,3.8
115,3.6
116,3.2
117,2.8
118,3.9
119,1.1
120,0.9
121,2.8
122,2.6
123,4.2
124,1.3
125,2
126,6.1
127,3.7
128,5.3
129,10
130,13.7
131,13.8
132,14.7
133,15
134,15.6
135,14.9
136,16.7
137,7.9
138,6.4
139,10
140,10.6
141,15.6
142,16
143,7.9
144,7.6
145,14.5
146,11.5
147,9.5
148,15.3
149,14
150,7.8
151,9
152,12.3
153,11.4
154,8.8
155,5.4
156,4.5
157,4.5
158,5.7
159,6.2
160,8.6
161,9.6
162,8.3
163,4.5
164,6.5
165,10.6
166,14.9
167,16.4
168,16.1
169,14.8
170,14.8
171,11.9
172,12.5
173,11
174,11.1
175,11.1
176,15.3
177,16.1
178,13.9
179,10.7
180,11.1
181,9.5
182,13.9
183,17.9
184,17.8
185,15.4
186,13.7
187,17.7
188,15.1
189,18.3
190,18.6
191,19.5
192,21.6
193,20.7
194,19.6
195,17.1
196,17.3
197,19.9
198,23.3
199,25
200,24.1
201,23.5
202,18.8
203,20.5
204,20.6
205,21.3
206,22.9
207,17.4
208,15.4
209,16.1
210,19.2
211,22.1
212,23.6
213,24.2
214,19.9
215,15.5
216,13.6
217,14
218,11.8
219,10.1
220,15.6
221,18.6
222,17
223,16.4
224,13.8
225,11.9
226,8.7
227,9.7
228,10.2
229,17.1
230,16.9
231,13.7
232,10.7
233,10.2
234,9
235,8.9
236,9.6
237,14.6
238,12.6
239,10.6
240,9.1
241,10.8
242,12.5
243,12.2
244,9.2
245,13
246,13.4
247,11.4
248,10
249,9.3
250,6.6
251,5.5
252,7.2
253,9.7
254,11
255,9.8
256,10.6
257,9
258,9.2
259,7
260,6.3
261,5.9
262,5.9
263,9.2
264,10.1
265,11
266,9
267,5.1
268,2
269,2.4
270,3.5
271,0.4
272,-0.6
273,3.2
274,2
275,-1.2
276,-2.6
277,-2.7
278,-1.7
279,-1.3
280,-3.3
281,-2.9
282,3.9
283,2
284,0.3
285,4.9
286,7.4
287,11
288,7
289,1.5
290,1.1
291,3.2
292,0.6
293,-0.3
294,4.7
295,0.9
296,-4
297,-5.5
298,-3.9
299,-2.7
300,-3.8
301,-8.9
302,-11.6
303,-10.1
304,-1
305,2.3
306,-2
307,-0.1
308,0.4
309,3.3
310,3.5
311,1.5
312,1
313,0.9
314,-0.3
315,0.2
316,2.1
317,3.3
318,0.2
319,2.3
320,4.4
321,3.8
322,-3.4
323,-4.6
324,-0.3
325,-0.6
326,-0.8
327,-3.4
328,-2.6
329,-5
330,-6.9
331,-11.4
332,-8.1
333,-1.9
334,1.3
335,1
336,-3.5
337,-3.2
338,-6.1
339,-3.7
340,-5.2
341,-7.1
342,-3.4
343,-2.7
344,-2.5
345,-3.4
346,-15
347,-12.3
348,-5.7
349,-5.2
350,-4.4
351,-7.9
352,-7
353,-7
354,-6.7
355,-9.6
356,-22
357,-24.6
358,-14.7
359,-7.6
360,-8.4
361,-12.1
362,-9.4
363,-3.1
364,-15.4
365,-12.8
